Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
E4942973,"819 Craven Rd, Toronto - Greenwood-Coxwell",Greenwood-Coxwell - Toronto,Semi-Detached,"$ 629,000","$691,149",2020-10-14,"$ 749,000",2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,507","Semi-Detached, 2-Storey",,-,900 feet² (SigmaEstimate®),None,,8 days,11 day(s),2020-10-06,2020-10-14,"$2,576",3.74%,Gerrard & Coxwell,,W,Toronto,"Stylishly Renovated From Top-To-Bottom You Will Love This Sweet Starter Home In One Of The Most Vibrant Neighbourhoods In Toronto's East End. This Place Has All The Bells & Whistles- Including Hardwood Floor Throughout, Heated Floors In The Porch & Bathroom, Cooks Kitchen With Stainless Steel Appliances & Plenty Of Space On Bright Quartz Counter Tops & Breakfast Bar. Tons Of Outdoor Space With Lovely Back Patio & Walk-Out From Master Bedroom."
C4923157,Unit 2901 - 2181 Yonge St E,Mount Pleasant West - Toronto,Condo Apt,"$ 599,800","$630,140",2020-10-15,"$ 602,000",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,620","Condo Apt, Apartment",$492/month,-,600-699 feet²,None,heat,22 days,17 day(s),2020-09-22,2020-10-14,"$1,990",2.35%,Yonge/Eglinton,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Sauna",Se,Toronto,"Experience Gorgeous Se Views From This Delightful 1 Bedroom, 1 Bathroom Condo At The Heart Of Vibrant Yonge/Eglinton. Perfect Midtown Location Steps To Best Shops, Restaurants & Ttc Subway. Functional ""Zero Waste"" Floor Plan Features 667 Sf In Total Of Bright Elegant Living Space, Floor To Ceiling Windows, Enjoy A Cocktail On Your Open Balcony Or Countless Great Restaurants And Bars In The Vibrant Yonge And Eg Area. It Has Well Appointed Gym And Indoor Pool."
C4918914,Unit 2201 - 1 Scott St,Waterfront Communities C8 - Toronto,Condo Apt,"$ 699,000","$663,994",2020-10-14,"$ 645,000",1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,465","Condo Apt, Apartment",$379/month,-,600-699 feet²,None,"water,heat",26 days,19 day(s),2020-09-18,2020-10-14,"$2,000",2.36%,Yonge And Front,"Concierge, Exercise Room, Games Room, Guest Suites, Outdoor Pool, Party/Meeting Room",E,Toronto,"When Viewing This Property On Realtor.Ca Please Click On The 'Multimedia' Link Below For More Property Info. Fantastic Views, Designer Finishes, A Custom Built In Storage And Work Unit That Is Completely Unique, This Is A Stellar Property In A Great Downtown Location. The Unit Has Unobstructed, East Exposure."
C4918433,Unit 1610 - 65 East Liberty St,Niagara - Toronto,Condo Apt,"$ 649,000","$636,359",2020-10-14,"$ 610,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,093","Condo Apt, Apartment",$406/month,6-10,600-699 feet²,None,"water,heat",27 days,14 day(s),2020-09-17,2020-10-14,"$2,077",2.64%,East Liberty & Strachan,"Bbqs Allowed, Concierge, Guest Suites, Gym, Indoor Pool",W,Toronto,"Welcome To 65 East Liberty. A World In Itself With The Amenities To Prove It. From Its Indoor Pool, Sauna And Gym, To A Yoga Studio, Billiards Room And Bowling Alley - This Building Has It All. And If You Decide To Venture Out, You're Only Steps Away From The Best Of King West Retail And Dining, And Just A Few Blocks From Trinity Bellwoods And Everything That Makes The Lakeshore Great, Which Btw Includes Sunsets From Your West-Facing View Over Lake Ontario."
C4905550,Unit 3201 - 8 Park Rd,Rosedale-Moore Park - Toronto,Condo Apt,"$ 699,900","$658,333",2020-10-14,"$ 620,000",2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,717","Condo Apt, Apartment",$655/month,16-30,700-799 feet²,None,"water,hydro,heat",34 days,21 day(s),2020-09-10,2020-10-14,"$3,129",3.52%,Yonge & Bloor,"Concierge, Gym, Media Room, Party/Meeting Room, Security Guard",W,Toronto,"Great Opportunity To Own A Thoughtfully Laid Out 2 Bedroom, 2 Bathroom Condo In The Heart Of Downtown! High-End Laminate Hardwood Throughout, Open Concept Main Living Space With Full Sized Kitchen And Breakfast Bar. Large Master With Ensuite Bathroom, And Flex Second Bedroom With Murphy Bed, Easily Converts To Functional Work-From-Home Office. Enjoy Every Convenience Toronto Has To Offer At One Of The City's Most Sought After Intersections."
C4894306,Unit 2419 - 1001 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 638,800","$674,190",2020-10-14,"$ 650,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,230","Condo Apt, Apartment",$501/month,-,700-799 feet²,None,,43 days,21 day(s),2020-09-01,2020-10-14,"$2,051",2.25%,Bay & Wellesley,"Concierge, Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Sauna",Nw,Toronto,"Spectacular Open Concept Suite, Over $20K In Upgrades In 2019 Include Appl's & Furnace (2019), Hdwd Flrs & Prof Designer Painted Suite W/Faux Finish. Unobstructed, Stunning Sunset Views. N/W & S/W Exposures. Steps To Yorkville,U.Of T.,Subway, Theatres & Restaurants. Lots Of Visitor Parking"
E4945471,11 Eastdale Ave,Crescent Town - Toronto,Detached,"$ 699,900","$758,069",2020-10-14,"$ 808,000",2+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,555","Detached, Bungalow",,-,900 feet² (SigmaEstimate®),"Finished, Full",,6 days,9 day(s),2020-10-07,2020-10-13,"$1,909",2.58%,Danforth & Main,,E,Toronto,"Absolutely Stunning & Fully Renovated With Modern Finishes Walking Distance To Danforth & Main Ttc. Be Amazed The Moment You Walk In With Hardwood Floors Throughout Feat. 2+1Br & 2Full Baths + Huge Loft. Gorgeous 2-Tone Kitchen With Quartz Counters & New Appliances. Full Height Underpinned Basement W/Additional Br + Full Bath, Rec/Play Room & Laundry. Long Private Driveway. Awesome Location Close To Danforth Village."
C4945288,Unit 10 - 350 Gerrard St E,Cabbagetown-South St. James Town - Toronto,Condo Townhouse,"$ 699,900","$718,868",2020-10-14,"$ 746,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,717","Condo Townhouse, 2-Storey",$885/month,-,1200-1399 feet²,"Finished, Full","water,hydro",6 days,17 day(s),2020-10-07,2020-10-14,"$2,530",2.16%,Gerrard & Parliament,,W,Toronto,"Over 1530Sf Of Total Living Space + 460Sf Of Private Patio Oasis In Dynamic Historic Cabbagetown! A Rare Opportunity At This Price Point. This Boutique Condo Is Bright And Spacious W/Three Floors Of Fabulous Living. Engineered Bamboo Flooring, Very Large Mstr Bdrm With A Skylight & Sitting Area, 2nd Skylight Adds Even More Natural Light, Wood Burning Fireplace, Nest Thermostat. 6 Visitor Parking Spots!! Steps To Shops, Transit, Parks. Click Virtual Tour!"
C4942114,Unit 12 - 98 Redpath Ave,Mount Pleasant East - Toronto,Condo Townhouse,"$ 699,000","$735,127",2020-10-14,"$ 760,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,178","Condo Townhouse, Stacked Townhse",$664/month,-,1000-1199 feet²,None,water,7 days,20 day(s),2020-10-06,2020-10-14,"$2,761",2.7%,Yonge & Eglinton,"Bike Storage, Car Wash, Rooftop Deck/Garden, Security Guard, Visitor Parking",E,Toronto,"Stunning And Bright 2 Bedroom Townhouse In Prime Location Of Yonge And Eglinton. Steps Away From Restaurants, Coffee Shops, Gyms, Movie Theatre, Shops, Loblaws, Lcbo, And Subway Station. This Gorgeous Townhome Has A Private Rooftop Terrace, Terrace Flooring, Granite Counter Kit & Main Bath, New Glass Kit. Backsplash And Valance Lighting, New Pot Lights, Track Lighting."
C4919768,Unit 2902 - 28 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,000","$701,252",2020-10-15,"$ 730,000",2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,393","Condo Apt, Apartment",$477/month,0-5,600-699 feet²,None,"water,heat",25 days,23 day(s),2020-09-18,2020-10-14,"$2,516",2.98%,Yonge & Wellesley,"Concierge, Exercise Room, Party/Meeting Room",Sw,Toronto,"2 Yrs Old Stunning Corner 2 Bedroom Unit With Large Balcony* Bright & Spacious Practical Layout *9Ft Smooth Ceiling * Floor To Ceiling Windows * Beautiful South West City View* Lots Of Upgrades * Next To Ttc Subway, Universities, Yonge Street Shops & Restaurants And More..."
C4894306,Unit 2419 - 1001 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 638,800","$674,190",2020-10-14,"$ 650,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,230","Condo Apt, Apartment",$501/month,-,700-799 feet²,None,,43 days,21 day(s),2020-09-01,2020-10-14,"$2,051",2.25%,Bay & Wellesley,"Concierge, Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Sauna",Nw,Toronto,"Spectacular Open Concept Suite, Over $20K In Upgrades In 2019 Include Appl's & Furnace (2019), Hdwd Flrs & Prof Designer Painted Suite W/Faux Finish. Unobstructed, Stunning Sunset Views. N/W & S/W Exposures. Steps To Yorkville,U.Of T.,Subway, Theatres & Restaurants. Lots Of Visitor Parking"
E4945471,11 Eastdale Ave,Crescent Town - Toronto,Detached,"$ 699,900","$758,069",2020-10-14,"$ 808,000",2+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,555","Detached, Bungalow",,-,900 feet² (SigmaEstimate®),"Finished, Full",,6 days,9 day(s),2020-10-07,2020-10-13,"$1,909",2.58%,Danforth & Main,,E,Toronto,"Absolutely Stunning & Fully Renovated With Modern Finishes Walking Distance To Danforth & Main Ttc. Be Amazed The Moment You Walk In With Hardwood Floors Throughout Feat. 2+1Br & 2Full Baths + Huge Loft. Gorgeous 2-Tone Kitchen With Quartz Counters & New Appliances. Full Height Underpinned Basement W/Additional Br + Full Bath, Rec/Play Room & Laundry. Long Private Driveway. Awesome Location Close To Danforth Village."
C4945288,Unit 10 - 350 Gerrard St E,Cabbagetown-South St. James Town - Toronto,Condo Townhouse,"$ 699,900","$718,868",2020-10-14,"$ 746,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,717","Condo Townhouse, 2-Storey",$885/month,-,1200-1399 feet²,"Finished, Full","water,hydro",6 days,17 day(s),2020-10-07,2020-10-14,"$2,530",2.16%,Gerrard & Parliament,,W,Toronto,"Over 1530Sf Of Total Living Space + 460Sf Of Private Patio Oasis In Dynamic Historic Cabbagetown! A Rare Opportunity At This Price Point. This Boutique Condo Is Bright And Spacious W/Three Floors Of Fabulous Living. Engineered Bamboo Flooring, Very Large Mstr Bdrm With A Skylight & Sitting Area, 2nd Skylight Adds Even More Natural Light, Wood Burning Fireplace, Nest Thermostat. 6 Visitor Parking Spots!! Steps To Shops, Transit, Parks. Click Virtual Tour!"
W4942865,16 Handel St,Rockcliffe-Smythe - Toronto,Detached,"$ 699,000","$804,947",2020-10-15,"$ 775,000",2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,286","Detached, Bungalow",,-,900 feet² (SigmaEstimate®),"Part Fin, Sep Entrance",,7 days,10 day(s),2020-10-06,2020-10-15,"$2,541",3.41%,St. Clair / Jane,,W,Toronto,"** Spacious Detached All Brick 2Bdrm Bungalow With Long Private Driveway & Garage, Separate Entrance To Partly Finished Basement W/ Apartment Potential. **Estate Sale** Quiet Neighborhood, Good Lot. 35 X 100 Ft, Virtual Pics Available, No Showings Due To Covid Concerns."
C4942114,Unit 12 - 98 Redpath Ave,Mount Pleasant East - Toronto,Condo Townhouse,"$ 699,000","$735,127",2020-10-14,"$ 760,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,178","Condo Townhouse, Stacked Townhse",$664/month,-,1000-1199 feet²,None,water,7 days,20 day(s),2020-10-06,2020-10-14,"$2,761",2.7%,Yonge & Eglinton,"Bike Storage, Car Wash, Rooftop Deck/Garden, Security Guard, Visitor Parking",E,Toronto,"Stunning And Bright 2 Bedroom Townhouse In Prime Location Of Yonge And Eglinton. Steps Away From Restaurants, Coffee Shops, Gyms, Movie Theatre, Shops, Loblaws, Lcbo, And Subway Station. This Gorgeous Townhome Has A Private Rooftop Terrace, Terrace Flooring, Granite Counter Kit & Main Bath, New Glass Kit. Backsplash And Valance Lighting, New Pot Lights, Track Lighting."
C4942097,Unit 1910 - 397 Front St,Waterfront Communities C1 - Toronto,Condo Apt,"$ 619,000","$626,726",2020-10-15,"$ 612,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,213","Condo Apt, Apartment",$558/month,-,700-799 feet²,None,"water,hydro,heat",7 days,21 day(s),2020-10-06,2020-10-15,"$1,943",2.07%,Front & Spadina,"Concierge, Gym, Indoor Pool, Recreation Room, Sauna, Visitor Parking",Se,Toronto,"Prime Downtown Location, Luxury Condo ""Apex At City Place"", Clean 690 Sq Ft 1-Bedroom Plus Den, Meticulous Layout To Accommodate Convenient Life Style And Working From Home. Access To All Amenities, Steps To Rogers Centre, Union Station, Financial District, Restaurants, Shopping, Hwys. This Is An Excellent Opportunity For Young Professionals Or Investors! Building Amenities:24/7 Concierge, Meeting Room, Indoor Pool, Basketball Court, Gym, Rec Rm, Rooftop Dec"
C4919768,Unit 2902 - 28 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,000","$701,252",2020-10-15,"$ 730,000",2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,393","Condo Apt, Apartment",$477/month,0-5,600-699 feet²,None,"water,heat",25 days,23 day(s),2020-09-18,2020-10-14,"$2,516",2.98%,Yonge & Wellesley,"Concierge, Exercise Room, Party/Meeting Room",Sw,Toronto,"2 Yrs Old Stunning Corner 2 Bedroom Unit With Large Balcony* Bright & Spacious Practical Layout *9Ft Smooth Ceiling * Floor To Ceiling Windows * Beautiful South West City View* Lots Of Upgrades * Next To Ttc Subway, Universities, Yonge Street Shops & Restaurants And More..."
C4912202,Unit 1118 - 85 Wood St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 599,000","$624,453",2020-10-14,"$ 618,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,415","Condo Apt, Apartment",$387/month,-,500-599 feet²,None,heat,29 days,23 day(s),2020-09-14,2020-10-14,"$1,988",2.39%,Church/Carlton,,S,Toronto,"Axis Condo,South Facing One Bedroom Plus Den Condo Located At Church/Carlton, 570 Sqft + 98 Sqft Balcony. Den With Sliding Door Can Be Used As 2nd Bedroom. Modern Kitchen With Integrated Appliances, Close To Everything, Steps To Loblaws, Walking Distance To Ryerson University, U Of T, Eaton Center, Minutes To College Subway Station. Free Internet Available!*6,500 Sq.Ft. Fitness Centre, Huge Outdoor Patio*"
C4910112,Unit 3312 - 1 Bloor St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 740,000","$714,722",2020-10-14,"$ 699,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 3,364","Condo Apt, Apartment",$485/month,-,600-699 feet²,None,"water,heat",30 days,22 day(s),2020-09-13,2020-10-14,"$2,265",2.23%,Yonge / Bloor,"Concierge, Gym, Indoor Pool",N,Toronto,"Fantastic Opportunity, Priced To Sell! Spacious 1 Bedroom Plus Den, With Open Concept Kitchen/Dining/Living Room. Large Balcony With North Views As Far As The Eye Can See! High End Finishes Throughout. Floor To Ceiling Windows. Large Bedroom With Lots Of Closet Space. Modern Bathroom. Ensuite Laundry. Great Location With Shopping, Entertainment & Dining At Your Doorstep! Attention Landlord Investors - A Must See! Motivated Sellers!"
W4876389,Unit 615 - 75 Emmett Ave,Mount Dennis - Toronto,Condo Apt,"$ 585,000","$578,679",2020-10-14,"$ 580,000",3+1 Bedrooms,2 Bathrooms,1 Garage,"$ 1,535","Condo Apt, Apartment",$989/month,-,1200-1399 feet²,None,"water,heat",55 days,16 day(s),2020-08-19,2020-10-14,"$2,378",2.39%,Eglinton/Emmett,"Exercise Room, Games Room, Indoor Pool, Sauna, Security Guard",S,Toronto,"Welcome To The Winston House Condos! This Spectacular 3+1 Unit Is Waiting For You! Unobstructed South Views, Just Stunning. Renovated, Bright, And Spacious Open Concept Living/Dining With Plenty Of Natural Light, Modern Kitchen W/Quartz Counter, Glass Backsplash, Stainless Steel Appliances & Breakfast That Sits 3! Master Ftrs W/I Closet W/4Pc Ensuite. Use Den As Extra Bedroom Or Office! Laminate Flooring Throughout, Large Balcony & Ensuite Laundry!"
C4928661,Unit 2502 - 33 University Ave,Bay Street Corridor - Toronto,Condo Apt,"$ 676,700","$675,837",2020-10-15,"$ 676,700",1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,267","Condo Apt, Apartment",$617/month,-,800-899 feet²,None,"water,hydro,heat",17 days,23 day(s),2020-09-25,2020-10-15,"$2,500",2.74%,University / Wellington,"Bike Storage, Concierge, Exercise Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Se,Toronto,"Spacious Home 880Sqft In The Heart Of The City Center. Entertainers Kitchen, Master Bedrm W/Ensuite Bathroom & Walk-In Closet, Large Den - Can Be Used As A Second Bedroom If Desired. Amenities Include: Rare 360 Rooftop Patio W/City Views Incl. Intimate View Of Cn Tower. Gym & Party Room. All Utilities Included In Maintenance Fees. Steps To Union Station, Harbourfront, Major Sporting Events & Concerts, Top To Restaurants & Bars, & Next To The Path."
C4894894,Unit 1310 - 37 Grosvenor St,Bay Street Corridor - Toronto,Condo Apt,"$ 699,000","$640,386",2020-10-14,"$ 620,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,717","Condo Apt, Apartment",$484/month,-,600-699 feet²,None,"water,heat",40 days,23 day(s),2020-09-02,2020-10-14,"$2,193",2.24%,Bay And College,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Visitor Parking",S,Toronto,"Incredible Price Reduction!! South-Facing Bright & Airy 1 Bed+Den At Highly Coveted ""Murano"" At Bay/College. Most Practical And Well-Thought Out Floor Plan. Prime Parking!! Huge Den Can Easily Be Used As 2nd Bed. Large Sun-Filled Bedroom, Floor-To-Ceiling Windows And Oversized Balcony. Full Service Kitchen W/ S/S Appliances. Parking & Locker Included! Unbeatable Location: Walk To U Of T, Ryerson, Financial/Entertainment Districts, Hospitals, & More!!"
C4847582,Unit 805 - 501 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,"$ 675,000","$666,337",2020-10-14,"$ 640,000",1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$577/month,New,600-699 feet²,None,heat,75 days,20 day(s),2020-07-28,2020-10-13,"$1,870",2.23%,Portland-King West And Adelaid,"Concierge, Gym, Media Room, Party/Meeting Room, Recreation Room, Rooftop Deck/Garden",E,Toronto,"Live In A Brand New European Style Boutique Luxury Building W/ Only 130 Units The Heart Of King West. Rare Spacious L Shape Floor Plan W/ 9Ft Ceilings, Full Dining Room, Study & Terrace Overlooking Skyline. Stunning Scavolini Kitchen W/ B/I Fridge, Pantry, Full Height Cabinets, Quartz Counters, Undermount Lighting, Pot Lights, Dimmers, Engineered Hdwd Floors. Unmatched Amenities & Steps To Streetcar & Best Shops & Restaurants In The City On King & Queen."
W4947473,Unit 808 - 61 Heintzman St,Junction Area - Toronto,Condo Apt,"$ 599,999","$633,186",2020-10-14,"$ 659,000",2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,015","Condo Apt, Apartment",$387/month,-,700-799 feet²,None,water,1 days,12 day(s),2020-10-09,2020-10-13,"$2,107",2.86%,Keele St & Dundas St W,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",N,Toronto,"A Lifestyle Awaits In The Coveted Jewel Of The Super Trendy Junction Area. Wake Up To A Clear, Unobstructed View Of The City Followed By A Medley Of Quaint Cafes At Your Doorstep. A Relaxing Walk Over To The Expansive High Park And Be Enveloped In Nature. Both Contemporary And Mom & Pop Restaurants Surround Your Next Home Which Has Been Lovingly Cared For By The Owner Evident By The Meticulous Decor And The Extensive Upgrades Throughout This Urban Retreat"
C4945256,Unit 1002 - 33 University Ave,Bay Street Corridor - Toronto,Condo Apt,"$ 699,000","$710,168",2020-10-14,"$ 699,000",1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,495","Condo Apt, Apartment",$654/month,-,800-899 feet²,None,"water,hydro,heat",3 days,23 day(s),2020-10-07,2020-10-13,"$2,250",2.19%,University & Wellington,"Concierge, Exercise Room, Rooftop Deck/Garden, Security System, Visitor Parking",Se,Toronto,"Large 1 Bedroom Plus Den & Parking At The Empire Plaza Residence. Recently Renovated Kitchen & Vanities. Large Open Concept, Den Off Of Living Room With S/E View Makes For A Great Work Space. Attractive Maintenance Fees & Great Location Within Walking Distance To All Amenities. Rooftop Patio With Excellent Views."
C4943784,52 O'leary Ave,Oakwood-Vaughan - Toronto,Semi-Detached,"$ 699,888","$759,757",2020-10-11,"$ 800,000",2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,437","Semi-Detached, 2-Storey",,-,1300 feet² (SigmaEstimate®),"Finished, Sep Entrance",,4 days,12 day(s),2020-10-06,2020-10-11,"$2,262",3.13%,Oakwood & St. Clair,,S,Toronto,"""Ok Google Turn The Fireplace On And Dim The Lights"" This Charming Semi Is Where Smart Home Meets Rustic Chic. Offering Two Bedrooms, Two Bathrooms And Situated In A Family Friendly Area On A Quiet Mews In Oakwood Village. O'learly Ave Is The Condo Alternative You've Been Waiting For. A True Hidden Gem In The Heart Of The City. Close To Future Lrt, Great Restaurants, Boutique Coffee Shops, Parks And Schools."
C4942755,(Address not available),Mount Pleasant West - Toronto,Condo Apt,"$ 699,000","$720,266",2020-10-14,"$ 699,000",1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,399","Condo Apt, 2-Storey",$590/month,-,700-799 feet²,None,"water,hydro,heat",4 days,17 day(s),2020-10-06,2020-10-13,"$2,358",2.48%,Yonge And Davisville,,S,Toronto,"Mad Love For Merton! Rarely Available South Facing Condo With Spectacular Unobstructed Tree Top Views! Enjoy The City Skyline As You Sip Your Morning Coffee On Your Spacious Balcony. Two Storey Open Concept Loft In A Quiet Boutique Building, Near Davisville Subway & Yonge St Shops And Overlooking The Picturesque Kay Gardner Beltline. Functional Space, Not An Inch Wasted. Loads Of Natural Light, Freshly Painted. Condo Fees Incl All Utilities! Bbq's Allowed!"
C4938999,"819 Craven Rd, Toronto - Greenwood-Coxwell",Church-Yonge Corridor - Toronto,Condo Townhouse,"$ 699,999","$735,282",2020-10-14,"$ 741,100",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,765","Condo Townhouse, 2-Storey",$345/month,-,800-899 feet²,None,water,7 days,10 day(s),2020-10-03,2020-10-13,"$2,635",3.22%,Yonge /Bloor,,N,Toronto,"Two Storey Condo At The Very Sough After The Mansion On Jarvis. Comes With Two Bedrooms, Spacious Open Concept Living/Dining Room. High Ceilings With Engineering Hardwood Floors. Granite Counter Top Kitchen With Stainless Steel Appliances. 2nd Floor Private Master Bedroom Has Lots Of Closet Space & En-Suite Bath. This Unit Has A Bbq Hookup At The Relaxing Terrace. Spacious Living With Low Maintenance Fee, Fantastic Location"
C4904342,Unit 2610 - 14 York St,Waterfront Communities C1 - Toronto,Condo Apt,"$ 579,900","$577,110",2020-10-15,"$ 520,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,429","Condo Apt, Apartment",$377/month,0-5,500-599 feet²,None,"water,heat",31 days,20 day(s),2020-09-09,2020-10-15,"$2,550",3.67%,York/Bremner,"Concierge, Exercise Room, Games Room, Gym, Indoor Pool, Visitor Parking",N,Toronto,"""Luxury Ice Condo"" 1 Bed+Den Located Next To Maple Leaf Sq, Air Canada Centre, Connects To Union Station, Go Transit, Financial District, Theater, Rogers Centre, Cn Tower, Cold Water Dip Pool, Swimming Pool, Hot Tub, Relaxing Lounge, Gym, 9Ft Ceilings."
C4941348,Unit 219 - 18 Beverley St,Kensington-Chinatown - Toronto,Condo Apt,"$ 624,900",Estimated Date,-,"$ 610,000",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,250","Condo Apt, Apartment",$615/month,-,600-699 feet²,None,"water,heat",4 days,School,2020-10-05,2020-10-10,Rental Yield,Rental Dom,Queen/Beverley,"Bike Storage, Car Wash, Concierge, Exercise Room, Guest Suites, Party/Meeting Room",S,Toronto,"Newly Renovated 1 Bdrm W/ Parking And Locker! Boasting Largest Private Greenspace Downtown! Modernly Styled, South Facing, Functional Layout! Recently Upgraded: Kitchen W/Quartz Countertops, Undermount Double Sinks, Delta Faucet! Upgraded Bathroom! Freshly Painted Unit! Light Fixtures, Custom Up/Down Window Shades! Minutes To Grange Park, Chinatown, Bus Stops & Shops! Less Than 15 Min Walk To U Of T, Nathan Philip Square, A G O, Hospitals, Cn Tower & More!"
