Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4933883,Unit 2305 - 3 Navy Wharf Crt,Waterfront Communities C1 - Toronto,Condo Apt,"$ 599,900","$621,300",2020-10-14,"$ 598,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,189","Condo Apt, Apartment",$473/month,-,600-699 feet²,None,"water,hydro,heat",9 days,20 day(s),2020-09-30,2020-10-13,"$2,089",2.49%,Spadina / Bremner,,N,Toronto,"Welcome Home To One Of The Most Desirable Condos In The City Of Toronto; Harbour View Estates Iii. Located In The Heart Of Downtown Toronto, This Unit Sits On The 23rd Floor With Fantastic Views Of The City, Cn Tower, And Rogers Centre. Steps Away From Union Station, Restaurants, Nightlife, And Access To Over 30,000 Sqft Of State Of The Art Amenities In The Super Club!"
C4931271,Unit 303 - 50 Camden St,Waterfront Communities C1 - Toronto,Condo Apt,"$ 699,900","$722,198",2020-10-14,"$ 710,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,663","Condo Apt, Loft",$665/month,-,800-899 feet²,None,"water,heat",11 days,20 day(s),2020-09-28,2020-10-14,"$4,224",5%,Adelaide St W And Brant,"Bike Storage, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"The Sylvia Lofts. A Quiet Established Building. This 2 Bed/2 Bath Suite Has Been Converted To A Large Onebed W/ Generous Living Space Overlooking Mature Greenery And St. Andrews Park. Large Loft Style Sliding Doors, Wide Sliding Windows , 9Ft Flat Finished Ceilings + Gas Stove Are Just A Few Of The Architectural Features Of This Unique Suite. Upcoming Waterworks Project W/ Gourmet Food Hall + State Of Art Fitness Club Is A Welcome Addition To Neighbourhood."
C4926243,Unit 1610 - 120 Homewood Ave,North St. James Town - Toronto,Condo Apt,"$ 599,900","$622,510",2020-10-14,"$ 565,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,015","Condo Apt, Apartment",$358/month,-,500-599 feet²,None,water,15 days,18 day(s),2020-09-24,2020-10-14,"$2,275",2.99%,Jarves & Wellesley,"Concierge, Outdoor Pool, Party/Meeting Room, Sauna, Security Guard, Visitor Parking",W,Toronto,"The Verve, Sunny And Bright West Facing With Blcony Overlooking The City. Very Practical Living No Wasted Space With Hallways And Corridors Fantastic Layout With Home Office Set Up, Large Kitchen, Cranite Counters, Island, Full Size Appliances. Freshly Painted And Move In Ready, Possession Immediate."
C4923572,Unit 1703 - 170 Sumach St,Regent Park - Toronto,Condo Apt,"$ 555,000","$585,599",2020-09-29,"$ 545,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,155","Condo Apt, Apartment",$536/month,-,600-699 feet²,Apartment,"water,hydro",18 days,17 day(s),2020-09-21,2020-10-10,"$2,209",2.85%,Dundas And Sumach,"Bike Storage, Concierge, Exercise Room, Gym, Party/Meeting Room, Sauna",S,Toronto,"Welcome To This Rarely Offered South Facing 1 Bedroom + Den At Daniels One Park Place North. Open Concept Layout, Laminate Floors,9Ft Ceilings, Floor To Ceiling Windows, Den Serves As Second Bedroom/Office. Top Notch Building Amenities - 24 Hr Concierge, Rooftop Deck. Steps To Ttc. Close To Shopping, Hwys, Ryerson, Unobstructed Views Of The City/Lake & Cn Tower."
C4922734,Unit 2218 - 25 The Esplanade,Waterfront Communities C8 - Toronto,Condo Apt,"$ 689,000","$705,440",2020-09-22,"$ 690,500",1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,819","Condo Apt, Apartment",$652/month,16-30,1000-1199 feet²,None,"water,hydro,heat",17 days,18 day(s),2020-09-22,2020-10-10,"$2,159",1.98%,Yonge St / Front St,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Beautiful South Facing, Lake View Unit, A Comfortable 1018 Sq Ft. Space To Be In. Hardwood Floor Throughout, Island Kitchen, Ensuite Storage Closet And Much More. 100 Walk/Transit Score. Steps To Financial Core, Union Station, Underground Path, St. Lawrence Market, Restaurant, Shops, 24Hr Metro. Amenities Include 24 Concierge, Game Room, Gym, Sauna, Bbq's, Party Room, 7 Outdoor Terraces, Rental Parking Available In Bldg. Enjoy City Life At Your Doorstep!"
C4920027,Unit 501 - 12 Bonnycastle St,Waterfront Communities C8 - Toronto,Condo Apt,"$ 599,800","$619,724",2020-10-14,"$ 599,800",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,312","Condo Apt, Apartment",$505/month,0-5,600-699 feet²,None,,21 days,19 day(s),2020-09-18,2020-10-13,"$2,150",2.71%,Queens Quay / East Of Yonge,"Concierge, Guest Suites, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"1 Yr New Award Winning Green Living Building*Sides Onto Park,Steps To Lake*Ttc At Door Steps*24/7 Concierge*Great Amenities:Rooftop Terrace,Cabana Deck,Outdoor Infinity Pool,Full Equip Gym,Yoga & Weights Studios,His & Hers Spa W/Hot Plunge Pool,Steam Rm,Dining Bar/Lounge,In/Outdoor Fireplace,Billiards Rm,Guest Suites & More*Bright & Spacious Unit O/L Park*9' High Smooth Ceil*Living Rm W/O To Balcony*Master Bedroom W/Large Window*Den Could Be Used As 2nd Br"
C4911004,Unit Ph01 - 69 Lynn Williams St,Niagara - Toronto,Condo Apt,"$ 599,000","$658,573",2020-09-23,"$ 555,000",1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,213","Condo Apt, Apartment",$464/month,-,600-699 feet²,None,"water,heat",25 days,14 day(s),2020-09-14,2020-10-09,"$2,242",2.74%,East Liberty/Strachan,"Bbqs Allowed, Exercise Room, Gym, Party/Meeting Room, Recreation Room, Visitor Parking",E,Toronto,"Rarely Offered Breathtaking Ph Unit W/Unobstructed Views Of City Skyline And Cn Tower!10 Ft Ceiling W/Designed Flr To Ceiling Windows. Bright, Spacious,Open Concept W/Elegant Upgraded Finishes.Huge Balcony W/Gas Hookup.Oversized Prking Spot & Locker.Steps From Banks,Grocery Store,Trendy Restaurants,Shopping,Cne,Go,Ttc & More. Very Low Maintenance Fees! Shows Like A Model Suite!"
W4942484,Unit 2609 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 598,900",Estimated Date,-,"$ 590,000",2 Bedrooms,2 Bathrooms,0 Garage,"$ 1,919","Condo Apt, Apartment",$400/month,-,600-699 feet²,None,"water,heat",3 days,School,2020-10-05,2020-10-10,Rental Yield,Rental Dom,Dupont & Lansdowne,"Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Sw,Toronto,"Well Laid Out, Nearly 700 Sq Ft, 2 Bed/2 Bath Condo On 26th Floor! Penthouse-Like Views Of The Entire City And To The Lake From Your Own Private, Gigantic, 130 Sq Ft Balcony. Tons Of Light, Huge Windows, Lots Of Storage Space, Granite Countertop, Electrical Outlets Everywhere, Great Soundproofing Between Units, In A New And Well Maintained Building. Grocery Store, Pharmacy & Lots Of Guest Parking On Main Level. Storage Locker Included With Unit."
W4932230,Unit 304 - 1140 Briar Hill Ave,Briar Hill-Belgravia - Toronto,Condo Apt,"$ 699,000","$773,279",2020-10-01,"$ 780,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,088","Condo Apt, 2-Storey",$395/month,0-5,1000-1199 feet²,None,,9 days,11 day(s),2020-09-29,2020-10-09,"$2,606",2.91%,Dufferin/Briar Hill,"Bbqs Allowed, Party/Meeting Room, Visitor Parking",W,Toronto,"A Modern Townhome Feel With A Hotel-Like Vibe! Located In The Newly Built ""Briar Hill Towns"" Is Where You'll Find This 2 Bedroom, 3 Level Home. 9Ft Ceiling Add To The Spacious And Airy Feel Of Its 1300 Sf. Layout. Designer Picked Upgrades Include Tiles In The Bathroom, Modern Light Fixtures, And Custom Wallpaper. Work From Home In The 3rd-Floor Office Space, Or Unwind After A Long Day On Your Private Terrace!"
C4921099,Unit 902 - 42 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 599,900","$611,736",2020-09-25,"$ 590,300",1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,621","Condo Apt, Apartment",$347/month,0-5,500-599 feet²,None,"water,heat",17 days,22 day(s),2020-09-21,2020-10-08,"$2,050",2.67%,Yonge/Bloor/Church,"Concierge, Gym, Outdoor Pool, Visitor Parking",Se,Toronto,"Welcome To Casa 2 By Cresford: An Upscale Residence In The Heart Of The City! Bright 1 Bedroom/2 Bathroom Corner Unit Flooded With Natural Light! South East Exposure W/275 Sq.Ft. Wrap Around Balcony, 9 Ft Ceilings, Floor-To-Ceiling Windows, Modern Kitchen And Spacious Bedroom. Walking Distance To U Of T, Ryerson, Fashionable Yorkville, World-Renowned Hotels, Best Restaurants/Cafes And Steps To 2 Subway Lines (Bloor/Yonge). Great For End-User Or Investor."
C4915123,Unit 715 - 700 King St W,Niagara - Toronto,Condo Apt,"$ 598,000","$653,108",2020-09-28,"$ 615,000",2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,147","Condo Apt, Apartment",$550/month,-,800-899 feet²,None,"water,heat",22 days,14 day(s),2020-09-16,2020-10-09,"$2,450",2.99%,King St W / Bathurst St,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Centrally Located In The Heart Of Toronto's King West Neighbourhood Boasting A Walkscore Of 97. South Facing Sun Filled Open Concept Loft. Featuring Soaring 11 Ft Ceilings, Sliding Barn Doors, Laminate Floors & Loads Of Storage Space. Just Minutes To Entertainment District, Queen West, Kensington Market, The Lake Front & The Financial District. Take Advantage Of The Rooftop Terrace W/ 360-Degree Views Of The City That You Won't Want To Miss!"
C4856832,Unit 1012 - 50 Lynn Williams St,Niagara - Toronto,Condo Apt,"$ 579,000","$604,608",2020-09-29,"$ 600,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,511","Condo Apt, Apartment",$540/month,-,600-699 feet²,None,"water,heat",64 days,14 day(s),2020-08-05,2020-10-09,"$2,075",2.47%,Strachan & East Liberty,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Visitor Parking",Se,Toronto,"Stunning 683 Sf 1 Bed+Den Offers Gleaming Hardwood Floors Throughout, Freshly Painted, New Lighting Fixtures And 2 Entrances To 100+ Sf Patio. Large Bedroom With Walk In Closet And Ensuite Laundry. Very Spacious Living Area And Dining, Large Den/2nd Bedroom. Perfect Central Location, Walk Everywhere With A Dog Park In Front Of Building. You'll Love Spending Your Evenings On The Large Patio In One Of The Most Sought After Areas In Toronto."
C4848746,Unit 906 - 330 Richmond St W,Waterfront Communities C1 - Toronto,Condo Apt,"$ 709,000","$663,402",2020-10-14,"$ 616,800",1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$519/month,-,800-899 feet²,None,,71 days,19 day(s),2020-07-29,2020-10-14,"$2,463",3.09%,Richmond St And Peter St,,N,Toronto,"Assignment Sale* Brand New Luxurious Building, In The Heart Of Toronto's Entertainment District* This Greenpark Built Development Boasts A Very Functional Open Concept Layout Of 702 Sft + 122 Sft Balcony With 9'Ceilings Connect Directly To Queen W & The Financial/Fashion Districts.Steps To Transit, Ryerson & Uoft. 5 Star Amenities: 24Hrs Concierge, Rooftop Pool & Terrace, Fitness Center. Perfect To Live In Or Amazing Investment Opportunity,"
C4941879,Unit 407 - 150 East Liberty St,Niagara - Toronto,Condo Apt,"$ 649,900","$666,482",2020-10-15,"$ 647,000",1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,159","Condo Apt, Apartment",$444/month,-,700-799 feet²,None,"water,heat",1 days,14 day(s),2020-10-06,2020-10-15,"$2,100",2.52%,Hanna/East Liberty,,S,Toronto,"Personality And Function Meet At This Liberty Village Stunner. Upgraded South Facing 1 Bed + Separate Den (Wall And Sliding Door Added) 2 Full Washrooms, 9Ft Ceilings,100Sqft Terrace, And A Floor Plan Without An Ounce Of Wasted Space. A Dream Kitchen With S/S Appliances, Stone Counters, And Tons Of Storage Space. Dining Room Is Big Enough For 6 Person Table Leading Into The Expansive Living Area With Floor To Ceiling Windows Bringing The Outside In."
E4936504,Unit 19 - 1666 Queen St E,Woodbine Corridor - Toronto,Condo Townhouse,"$ 598,000","$660,918",2020-10-14,"$ 685,000",3+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,357","Condo Townhouse, Multi-Level",$627/month,31-50,1000-1199 feet²,"Crawl Space, Half",water,6 days,11 day(s),2020-10-01,2020-10-14,"$2,892",3.65%,Queen St E/ Coxwell,,N,Toronto,"This Bright And Funky Soho Style Townhome Facing Courtyard Is Nestled In The Beaches Off Orchard Park Blvd! Updated Eat-In Kitchen W/ Quartz Countertops And S/S Appliances. Spacious Master Bedroom Open To Converted 3rd Bed/Den, 2nd Bedroom Features Lofty Tandem B/I Sleep Nook! Steps To East End Shops/Restaurants, Ttc, Parks And Beach! Don't Miss Out! New Roof & Skylight (2020) New Heating & Elec Panel (2018)"
E4933984,Unit 304 - 1238 Dundas St E,South Riverdale - Toronto,Condo Apt,"$ 599,000","$653,768",2020-09-30,"$ 635,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,454","Condo Apt, Apartment",$552/month,-,700-799 feet²,None,water,7 days,11 day(s),2020-09-30,2020-10-07,"$2,972",3.9%,Carlaw & Dundas,,S,Toronto,"Gorgeous Open Concept South Facing Suite In The Coveted Taylor Boutique Loft Style Building. This Split Plan, Spacious 2 Bedrooms, 2 Baths Is The One You've Been Waiting For. Filled With An Abundance Of Natural Light. Exposed Concrete Ceilings, Sleek Stylish Modern European Kitchen With Walk Out To Spacious Balcony With Gas Bbq Hookup That Overlooks The Treetops Of The Neighbourhood. Stroll To Leslieville Shops, Restaurants & Parks."
C4932103,Unit 407 - 205 Manning Ave,Trinity-Bellwoods - Toronto,Condo Apt,"$ 599,000","$615,617",2020-09-29,"$ 603,000",1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,165","Condo Apt, Apartment",$492/month,0-5,500-599 feet²,None,"water,heat",8 days,15 day(s),2020-09-29,2020-10-09,"$2,200",2.8%,Dundas And Bathurst,"Bike Storage, Gym, Party/Meeting Room, Security System, Visitor Parking",S,Toronto,"Stylish 1 Bedroom Condo At Boutique Nero In Heart Of Trinity Bellwoods. Expansive South Views Of Cn Tower & Skyline From A True Juliet Balcony. Premium Built-In Kitchen Appliances Including Gas Stove. Locker Included. Exposed Concrete Wall & Black-White Cabinets/Bath. Functional Layout With Many Ways To Make It Your Own Home & Work-From-Home Space. Awesome Location! Steps From Shops, Restaurants, Ttc & The Best Park In Toronto."
C4931115,Unit 515 - 22 Leader Lane,Church-Yonge Corridor - Toronto,Condo Apt,"$ 649,900","$647,262",2020-09-28,"$ 638,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 3,136","Condo Apt, Apartment",$832/month,-,700-799 feet²,None,"water,heat",9 days,22 day(s),2020-09-28,2020-10-08,"$2,076",1.59%,King/Yonge,"Concierge, Guest Suites, Gym, Party/Meeting Room, Security Guard, Security System",E,Toronto,"John Lennon, Elizabeth Taylor, Meghan Markle. Live In The Home Of Icons Both Past And Present At The Historic King Edward Hotel. 735 Sqft Of Luxury In A 1+1 Bedroom Suite With 10 Ft Ceilings, High End Finishes & A Rarely Offered East Facing Balcony Over A Quiet Courtyard For 120 Sqft Of Extra Living Space At The Best Value Per Sqft In The Building. 1 Min Walk To King Subway, Union, Go Trains, Berczy Park & Waterfront. Access To Upscale Hotel Amenities."
C4930589,Unit 803 - 32 Camden St,Waterfront Communities C1 - Toronto,Condo Apt,"$ 699,000","$710,181",2020-09-28,"$ 720,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,765","Condo Apt, Loft",$542/month,-,700-799 feet²,None,"water,heat",9 days,20 day(s),2020-09-28,2020-10-07,"$2,533",2.74%,Spadina/Richmond/Adelaide,"Bike Storage, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Security System, Visitor Parking",N,Toronto,"Welcome Home To Your Spacious, Sun-Filled & Boutique-Style Downtown Loft! Very Rarely Offered & Highly Coveted Corner Suite Has Open Layout, Soaring Ceilings, Floor To Ceiling Windows, Upgraded Lights, Large Den & Huge Outdoor Balcony With Dbl Sliding Doors. With Only 87 Suites, And Located In The Heart Of King/Queen West, Thirty-Two Camden Lofts Is Intimate Living That Is Steps From The Best Shopping, Dining, And Entertainment T.O. Has To Offer. Won't Last!"
W4928307,411 Symington Ave,Weston-Pellam Park - Toronto,Semi-Detached,"$ 699,000","$755,462",2020-09-25,"$ 710,000",4 Bedrooms,1 Bathrooms,2 Garage,"$ 3,676","Semi-Detached, 2 1/2 Storey",,-,1750 feet² (SigmaEstimate®),"Full, Unfinished",,12 days,9 day(s),2020-09-25,2020-10-08,"$2,324",3.11%,Dupont St./Symington,,E,Toronto,Attention Renovators + Developers. Original Condition. Semi Cleaned Out And Ready To Make Your Own. House Backs Onto An Alley. Potential Opportunity For Alley Home In Back. Buyer To Check With City Regarding Potential For Alley Home. House Is Being Sold In As Is Where Is Condition.
C4927552,8 Dublin St,Dufferin Grove - Toronto,Semi-Detached,"$ 699,000","$905,562",2020-10-01,"$ 750,000",3 Bedrooms,3 Bathrooms,1 Garage,"$ 4,250","Semi-Detached, 2-Storey",,100+,1100-1500 feet²,Unfinished,,13 days,11 day(s),2020-09-24,2020-10-08,"$3,760",4.36%,Lansdowne/Bloor,,N,Toronto,Cozy Home Located In Trendy City Neighborhood. A Stones Throw To Lansdowne/Bloor Including Ttc Subway. Move In Or Modify Adding Your Personal Touches. Parking In The Rear With A Short Walk To Bloor Street Amenities. This Home Has Endless Potential. We Welcome Your Offer.
C4926704,Unit 3808 - 21 Carlton St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 618,000","$634,759",2020-09-24,"$ 610,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,387","Condo Apt, Apartment",$457/month,-,500-599 feet²,None,"water,heat",13 days,22 day(s),2020-09-24,2020-10-08,"$2,113",2.51%,Yonge/Carlton,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",S,Toronto,"Sunny South Unobstructed City And Water View. Enjoy All Of Toronto's Conveniences At Your Doorstep. Subway, Shopping, Universities, Restaurants, Etc. Fantastic Floorplan, 1 Bedroom And Den. Den Can Be Second Bedroom/Office. Upgraded Laminate Floor In The Master And Den. Renovated Washroom."
C4917868,Unit 618 - 70 Roehampton Ave,Mount Pleasant West - Toronto,Condo Apt,"$ 688,000","$681,278",2020-09-30,"$ 655,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,825","Condo Apt, Apartment",$420/month,-,600-699 feet²,None,water,20 days,17 day(s),2020-09-17,2020-10-08,"$2,142",2.44%,Yonge / Eglinton,"Concierge, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",W,Toronto,"Republic By Tridel. Stunning Luxury Suite. Prime Location At Yonge/Eglinton. 1 Bedroom And Den With Parking And Storage Locker, Clear Unobstructed West View. Stainless Steel Kitchen Appliances, Kitchen Island With Granite Counter. State Of The Art Amenities. 5 Minute Walk To Subway, Restaurants, Shops."
C4903136,Unit 816 - 637 Lake Shore Blvd W,Niagara - Toronto,Condo Apt,"$ 699,900","$700,942",2020-09-23,"$ 695,000",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,600","Condo Apt, Loft",$498/month,11-15,600-699 feet²,Other,water,29 days,14 day(s),2020-09-08,2020-10-10,"$2,215",2.42%,Lake Shore/Bathurst,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",N,Toronto,"Bishop & Millers 1920'S Art Deco Masterpiece! Tip Top Lofts, Located On Toronto's Waterfront, Bright, Sun Filled 2 Story Loft, Approx 638 Sq/Ft. Features W/O Private Balcony, S/S Appliances, Premium Parking Space & Locker. Steps To Mark Goodman Waterfront Trail, New Flagship Lablaws/Retail. Top Shelf Gym, Party Room & Communal Roof Top Terrace. Walk To Park, Off Leash Dog Park, Lake, Ferry, Island Airport, Budweiser Stage, Bmo Field, Queens Quay Shops & Rest"
C4901687,Unit 1607 - 285 Mutual St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 657,900","$657,699",2020-09-30,"$ 642,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,685","Condo Apt, Apartment",$718/month,11-15,700-799 feet²,None,"water,heat",29 days,22 day(s),2020-09-08,2020-10-08,"$2,199",2.05%,Jarvis/Carlton,"Concierge, Exercise Room, Party/Meeting Room, Recreation Room, Sauna",S,Toronto,"Radio City. A Bright And Spacious 16th Floor 1 + 1 Condo. Spectacular Views. The Floorplan Is Unique, With No Wasted Space. 9' High Ceilings. Stainless Steel Appliances, Wood- Tiled Large Balcony, Huge Floor-Ceiling Windows In The Bedroom, Suite Is One Of The Larger 1+1'S In Bldg, Den Has Been Used As A 2nd Bdrm With Closet! Parking And Locker Included. Fabulous Amenities, And A Wonderful Community."
C4891637,Unit Th33 - 80 Carr St,Kensington-Chinatown - Toronto,Condo Townhouse,"$ 689,000","$707,270",2020-09-25,"$ 655,000",2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,501","Condo Townhouse, Stacked Townhse",$473/month,-,700-799 feet²,None,water,37 days,11 day(s),2020-08-31,2020-10-07,"$2,775",3.41%,Queen And Bathurst,,N,Toronto,"Perfectly Located @ Queen & Bathurst Between Trendy Queen West & Kensington Market. Open Concept Home Offers 2 Bedrooms,1 Bath, Kitchen Equipped With Stainless Steel Appliances, Pantry For Ample Storage, A Beautiful Terrace With Bbq Gas-Line. Steps To The Park, Queen St, Kensington, Bellwoods, 24 Hr Transit At Doorstep, & Parking Included And Entrance To Underground Parking Conveniently Located In Front Of The Unit! - Peaceful Downtown Living At Its Best!"
C4935879,Unit 1606 - 1815 Yonge St,Mount Pleasant East - Toronto,Condo Apt,"$ 699,000","$723,902",2020-10-14,"$ 760,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,472","Condo Apt, Apartment",$682/month,6-10,700-799 feet²,None,"water,heat",5 days,20 day(s),2020-10-01,2020-10-14,"$2,083",1.79%,Yonge Street & Merton Street,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Ne,Toronto,"Rare Corner Spacious 768 Sqft Unit Consists Of 1 Bedroom 1 Bathroom + Den W/Door That Can Be Used As A 2nd Bedroom, Unobstructed Stunning Views Of Mount Pleasant Cemetery & The Belt-Line, Kitchen With S/S Appliances, Caesarstone Countertops With Under Mount Light, Floor To Ceiling Windows W/2 Walkouts Onto Wraparound Balcony. Guest Suite, Party Room W/Outdoor Bbq Area, Gym, Theatre Rm & More, Steps To Davisville Station, Restaurants And Shopping."
W4933938,341 Harvie Ave,Caledonia-Fairbank - Toronto,Detached,"$ 698,000","$738,842",2020-09-30,"$ 750,000",2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,969","Detached, Bungalow",,100+,1100-1500 feet²,Unfinished,,6 days,17 day(s),2020-09-30,2020-10-07,"$2,004",2.7%,Eglinton And Caledonia,,E,Toronto,"Situated On A 25 Wide X 150 Deep Lot, This Bright 2 Bedroom Bungalow Is The Perfect Starter Home Or Why Not Build Your Dream Home! It Has The Bonus Of A Private Drive With Parking For 3 Cars, A 4 Piece Bathroom In The Basement And A Recreation Room Which Awaits Your Finishing Touches. This Quiet, Family Friendly Neighbourhood Is Conveniently Located Minutes From The Eglinton Crosstown Lrt And Is In Walking Distances To Schools, Parks, Restaurants, Your Local"
C4932381,Unit 1005 - 38 Stewart St,Waterfront Communities C1 - Toronto,Condo Apt,"$ 648,800","$652,585",2020-10-14,"$ 625,000",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,603","Condo Apt, Apartment",$480/month,-,500-599 feet²,None,"water,heat",7 days,21 day(s),2020-09-29,2020-10-14,"$2,233",2.53%,King West And Bathurst,,Nw,Toronto,"Upgraded Modern Suite At The Thompson Residences. Engineered Hardwood Throughout. Bright West- Facing Master W/ Floor To Ceiling Window & Large Closet. Upgraded Contemporary Scavolini Kitchen W/ Integrated Appliances & Quartz Counters. Open Concept Living/Dining W/ Walkout To Large Balcony! Custom Window Shades Throughout. Large Parking Space & Locker Included! Amenities: 24 Hr Concierge, Rooftop Pool/Bar Lavelle, State Of The Art Gym, Lounge & Bike Storage."
C4932242,"819 Craven Rd, Toronto - Greenwood-Coxwell",Waterfront Communities C1 - Toronto,Condo Apt,"$ 589,800","$603,778",2020-09-29,"$ 662,000",1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,315","Condo Apt, Apartment",$465/month,11-15,500-599 feet²,None,water,7 days,20 day(s),2020-09-29,2020-10-08,"$1,875",2.21%,King & Spadina,"Bike Storage, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",Sw,Toronto,"Bright 1 Bedroom With 2 Lockers In The Luxury ""Charlie"" Condos. Completely Furnished 630 Sqft- 580+50 Sqft Balcony With Unobstructed West Views Of Lake And Beyond. Light Filled, Stunning Finishes. Functional Open Concept Layout, 9' Ceilings, Upgraded Wood Flooring, Bosch Appliances, Floor To Ceiling Windows. Move In Or Use As An Investment Property. Located In The Heart Of Toronto's Entertainment District, Ttc, Financial District, And Top Restaurants."
